sample_id,y
GSM2335548,1
GSM2335549,1
GSM2335550,1
GSM2335551,1
GSM2335552,1
GSM2335553,1
GSM2335554,1
GSM2335555,1
GSM2335556,1
GSM2335557,1
GSM2335558,1
GSM2335559,1
GSM2335560,1
GSM2335561,1
GSM2335562,1
GSM2335563,1
GSM2335564,1
GSM2335565,1
GSM2335566,1
GSM2335567,1
GSM2335568,1
GSM2335569,1
GSM2335570,1
GSM2335571,1
GSM2335572,1
GSM2335573,1
GSM2335574,1
GSM2335575,1
GSM2335576,1
GSM2335577,1
GSM2335578,1
GSM2335579,1
GSM2335580,1
GSM2335581,1
GSM2335582,1
GSM2335583,1
GSM2335584,1
GSM2335585,1
GSM2335586,1
GSM2335587,1
GSM2335588,1
GSM2335589,1
GSM2335590,1
GSM2335591,1
GSM2335592,1
GSM2335593,1
GSM2335594,1
GSM2335595,1
GSM2335596,1
GSM2335597,1
GSM2335598,1
GSM2335599,0
GSM2335600,0
GSM2335601,0
GSM2335602,0
GSM2335603,0
GSM2335604,0
GSM2335605,0
GSM2335606,0
GSM2335607,0
GSM2335608,0
GSM2335609,0
GSM2335610,0
GSM2335611,0
GSM2335612,0
GSM2335613,0
GSM2335614,0
GSM2335615,0
GSM2335616,0
GSM2335617,0
GSM2335618,0
GSM2335619,0
GSM2335620,0
GSM2335621,0
GSM2335622,0
GSM2335623,0
GSM2335624,0
GSM2335625,0
GSM2335626,0
GSM2335627,0
GSM2335628,0
GSM2335629,0
GSM2335630,0
GSM2335631,0
GSM2335632,0
GSM2335633,0
GSM2335634,0
GSM2335635,0
GSM2335636,0
GSM2335637,0
GSM2335638,0
GSM2335639,0
GSM2335640,0
