feature_id,fold,importance
A1CF,1,5.71306037902832
A2BP1,1,0.0
A2LD1,1,13.121613502502441
AACS,1,0.0
AANAT,1,0.0
AARSD1,1,5.212032794952393
AATK,1,7.4750542640686035
ABCA5,1,0.0
ABCB1,1,0.0
ABCB9,1,0.0
ABCC1,1,0.0
ABCD1,1,0.9868412017822266
ABCF2,1,0.0
ABCG1,1,0.9413080215454102
ABCG2,1,0.0
ABLIM1,1,1.1675434112548828
ABR,1,0.0
ACAA1,1,0.0
ACACA,1,0.0
ACAD10,1,0.0
ACAD8,1,0.0
ACADSB,1,7.628066062927246
ACD,1,0.0
ACOT4,1,1.1093006134033203
ACOT7,1,0.0
ACOT8,1,5.836404800415039
ACOX3,1,0.0
ACRC,1,0.0
ACSF2,1,0.0
ACSF3,1,11.098272323608398
ACSL1,1,0.0
ACTA2,1,2.085264205932617
ACVR1,1,0.005157470703125
ADAD1,1,0.49264097213745117
ADAL,1,0.0
ADAM29,1,0.0
ADAM5P,1,0.0
ADAMTS17,1,0.0
ADAT3,1,0.0
ADC,1,0.0
ADCK5,1,0.622849702835083
ADCY8,1,0.0
ADD2,1,0.0
ADORA2A,1,0.0
ADPRH,1,0.0
ADPRHL1,1,0.9714893102645874
ADRA2A,1,0.0
ADRA2C,1,0.0
AEN,1,0.0
AFAP1,1,0.0
AFF3,1,0.0
AGAP1,1,0.0
AGAP2,1,0.38490092754364014
AGBL4,1,1.6495678424835205
AGL,1,1.876466989517212
AGPAT1,1,0.0
AGPAT3,1,0.0
AGPAT4,1,0.0
AGPAT9,1,0.0
AGXT,1,0.0
AHDC1,1,0.0
AHI1,1,0.0
AIDA,1,0.0
AIFM1,1,0.0
AKAP5,1,0.0
AKD1,1,0.0
AKR1A1,1,0.0
AKR1E2,1,1.107017159461975
AKTIP,1,0.0
ALDH3A1,1,0.0
ALDH3B2,1,0.0
ALDOA,1,3.525162696838379
ALG11,1,0.0
ALG12,1,0.2404424250125885
ALKBH3,1,0.0
ALLC,1,0.0
ALPK3,1,0.7367522716522217
ALS2,1,0.7265787720680237
ALX4,1,0.0
AMMECR1,1,0.0
AMPD2,1,0.0
AMPD3,1,0.0
AMZ2,1,0.0
ANAPC11,1,0.0
ANG,1,0.0
ANGPT2,1,1.9849790334701538
ANK2,1,0.0
ANKMY1,1,0.0
ANKRD11,1,1.3955316543579102
ANKRD26,1,0.0
ANKRD32,1,0.0
ANKRD34A,1,0.0
ANKRD45,1,0.0
ANKS1B,1,0.0
ANP32E,1,0.0
ANXA11,1,0.0
AOX1,1,0.0
AP1B1,1,0.0
AP3D1,1,0.0
AP4E1,1,0.5139245986938477
AP4S1,1,0.0
APAF1,1,0.0
APBB1IP,1,0.0
APBB2,1,0.0
APC,1,0.0
AQP11,1,0.0
AR,1,0.0
ARFGAP1,1,0.0
ARFIP2,1,0.0
ARHGAP12,1,0.0
ARHGAP29,1,1.5736777782440186
ARHGEF10,1,0.0
ARHGEF10L,1,0.0
