sample_id,y
GSM1301871,0
GSM1301873,0
GSM1301874,0
GSM1301875,0
GSM1301876,1
GSM1301877,0
GSM1301878,0
GSM1301879,0
GSM1301880,0
GSM1301881,1
GSM1301882,1
GSM1301883,0
GSM1301885,0
GSM1301887,0
GSM1301893,0
GSM1301894,1
GSM1301895,0
GSM1301896,0
GSM1301897,0
GSM1301898,0
GSM1301899,0
GSM1301900,0
GSM1301903,0
GSM1301904,1
GSM1301906,0
GSM1301907,0
GSM1301908,0
GSM1301909,0
GSM1301911,0
GSM1301912,0
GSM1301913,0
GSM1301914,0
GSM1301915,0
GSM1301916,0
GSM1301917,0
GSM1301918,0
GSM1301919,0
GSM1301921,0
GSM1301922,0
GSM1301923,0
GSM1301924,0
GSM1301926,0
GSM1301927,1
GSM1301928,0
GSM1301929,0
GSM1301930,1
GSM1301931,0
GSM1301932,1
GSM1301933,0
GSM1301934,0
GSM1301935,0
GSM1301936,0
GSM1301937,0
GSM1301938,0
GSM1301939,0
GSM1301940,0
GSM1301941,1
GSM1301942,0
GSM1301943,0
GSM1301944,0
GSM1301945,0
GSM1301946,0
GSM1301947,0
GSM1301948,1
GSM1301949,1
GSM1301951,0
GSM1301952,1
GSM1301953,0
GSM1301954,1
GSM1301955,0
GSM1301956,0
GSM1301957,0
GSM1301959,0
GSM1301960,0
GSM1301961,0
GSM1301962,1
GSM1301963,0
GSM1301964,0
GSM1301965,0
GSM1301966,1
GSM1301967,0
GSM1301968,0
GSM1301969,0
GSM1301970,0
GSM1301973,0
GSM1301974,1
GSM1301975,0
GSM1301976,0
GSM1301977,0
GSM1301978,0
GSM1301980,1
GSM1301981,0
GSM1301982,0
GSM1301983,0
GSM1301984,0
GSM1301985,0
GSM1301986,0
GSM1301988,1
GSM1301989,0
GSM1301990,0
