sample_id,group,ccr6,batch,tmt_channel,subject
ART01_plus,ART,pos,B1,126,ART01
ART01_minus,ART,neg,B1,127N,ART01
ART02_plus,ART,pos,B1,127C,ART02
ART02_minus,ART,neg,B1,128N,ART02
EC01_plus,EC,pos,B1,128C,EC01
EC01_minus,EC,neg,B1,129N,EC01
EC02_plus,EC,pos,B1,129C,EC02
EC02_minus,EC,neg,B1,130N,EC02
HC02_plus,HC,pos,B1,130C,HC02
HC02_minus,HC,neg,B1,131N,HC02

ART03_plus,ART,pos,B2,127N,ART03
ART03_minus,ART,neg,B2,128C,ART03
ART04_plus,ART,pos,B2,129N,ART04
ART04_minus,ART,neg,B2,130C,ART04
EC03_plus,EC,pos,B2,131N,EC03
EC03_minus,EC,neg,B2,130N,EC03
EC04_plus,EC,pos,B2,129C,EC04
EC04_minus,EC,neg,B2,128N,EC04
HC01_plus,HC,pos,B2,127C,HC01
HC01_minus,HC,neg,B2,126,HC01

ART05_plus,ART,pos,B3,131N,ART05
ART05_minus,ART,neg,B3,130N,ART05
ART06_plus,ART,pos,B3,129N,ART06
ART06_minus,ART,neg,B3,128N,ART06
EC05_plus,EC,pos,B3,127N,EC05
EC05_minus,EC,neg,B3,126,EC05
EC06_plus,EC,pos,B3,130C,EC06
EC06_minus,EC,neg,B3,127C,EC06
HC03_plus,HC,pos,B3,128C,HC03
HC03_minus,HC,neg,B3,129C,HC03
