sample_id,label
GSM2335548,EC
GSM2335549,EC
GSM2335550,EC
GSM2335551,EC
GSM2335552,EC
GSM2335553,EC
GSM2335554,EC
GSM2335555,EC
GSM2335556,EC
GSM2335557,EC
GSM2335558,EC
GSM2335559,EC
GSM2335560,EC
GSM2335561,EC
GSM2335562,EC
GSM2335563,EC
GSM2335564,EC
GSM2335565,EC
GSM2335566,EC
GSM2335567,EC
GSM2335568,EC
GSM2335569,EC
GSM2335570,EC
GSM2335571,EC
GSM2335572,EC
GSM2335573,EC
GSM2335574,EC
GSM2335575,EC
GSM2335576,EC
GSM2335577,EC
GSM2335578,EC
GSM2335579,EC
GSM2335580,EC
GSM2335581,EC
GSM2335582,EC
GSM2335583,EC
GSM2335584,EC
GSM2335585,EC
GSM2335586,EC
GSM2335587,EC
GSM2335588,EC
GSM2335589,EC
GSM2335590,EC
GSM2335591,EC
GSM2335592,EC
GSM2335593,EC
GSM2335594,EC
GSM2335595,EC
GSM2335596,EC
GSM2335597,EC
GSM2335598,EC
GSM2335599,ART
GSM2335600,ART
GSM2335601,ART
GSM2335602,ART
GSM2335603,ART
GSM2335604,ART
GSM2335605,ART
GSM2335606,ART
GSM2335607,ART
GSM2335608,ART
GSM2335609,ART
GSM2335610,ART
GSM2335611,ART
GSM2335612,ART
GSM2335613,ART
GSM2335614,ART
GSM2335615,ART
GSM2335616,ART
GSM2335617,ART
GSM2335618,ART
GSM2335619,ART
GSM2335620,ART
GSM2335621,ART
GSM2335622,ART
GSM2335623,ART
GSM2335624,ART
GSM2335625,ART
GSM2335626,ART
GSM2335627,ART
GSM2335628,ART
GSM2335629,ART
GSM2335630,ART
GSM2335631,HC
GSM2335632,HC
GSM2335633,HC
GSM2335634,HC
GSM2335635,HC
GSM2335636,HC
GSM2335637,HC
GSM2335638,HC
GSM2335639,HC
GSM2335640,HC
