feature,gain_importance
C10orf111,31.311378479003906
SLC13A4,31.07190704345703
ANP32E,19.992862701416016
MRGPRX1,19.83750343322754
RP9P,17.436019897460938
CHRNA2,16.233444213867188
MDN1,15.934762954711914
EMX2,15.455584526062012
SBF2,15.0796537399292
CCT3,14.755781173706055
FAM24B,14.591690063476562
EHHADH,14.293882369995117
MEX3D,14.258491516113281
DMD,14.145111083984375
NTRK1,14.067826271057129
NKIRAS2,13.546497344970703
ZFC3H1,13.382753372192383
PKDREJ,12.974145889282227
CD81,12.809114456176758
CA5BP,12.714360237121582
NSDHL,12.705497741699219
ERBB2,12.380834579467773
ASNS,12.143003463745117
TRIOBP,11.777509689331055
PLEKHA6,11.022074699401855
C10orf41,10.777094841003418
RPL10,10.76734447479248
SPSB4,10.601842880249023
ROBO2,9.633749961853027
ACAA1,9.586276054382324
LYSMD2,9.327739715576172
MBNL1,8.950091361999512
GPATCH1,8.858107566833496
AOX1,8.815396308898926
C13orf18,8.700937271118164
BCL6,8.373730659484863
CENPT,8.336158752441406
NCOA2,8.202136993408203
AIFM1,7.985353469848633
C1orf182,7.901640892028809
ZNF528,7.869932174682617
IRF2,7.684584617614746
TAGLN2,7.50700569152832
MYADML2,7.193322658538818
C5orf37,7.028703689575195
CPNE4,6.895174503326416
HTR2C,6.311941146850586
ACRC,6.248812675476074
PCDHA4,6.108280181884766
SHC1,6.031100273132324
PDIA5,6.022604942321777
SND1,5.950960159301758
ABCA5,5.909001350402832
PTN,5.79834508895874
C10orf4,5.7797040939331055
ABCG1,5.736723899841309
MARCH8,5.704660415649414
C10orf96,5.688246726989746
CKLF,5.589869499206543
MTERF,5.5099687576293945
BMP8B,5.508081436157227
OBFC2B,5.299698829650879
GNL1,5.278299331665039
VSX2,5.269091606140137
KLHL30,4.917724609375
C1orf210,4.914181709289551
PKN1,4.687009811401367
RBM44,4.6763596534729
SNORD115-15,4.584130764007568
CAST,4.5307512283325195
KHNYN,4.435450553894043
ASCL1,4.394056797027588
MXD1,4.358642578125
PHF1,4.355429172515869
ZNF350,4.317959308624268
CC2D1B,4.193144798278809
EHMT2,4.170858383178711
AGBL4,4.025320529937744
C1orf103,4.020391941070557
TBCD,3.9081292152404785
C9orf3,3.9079132080078125
IP6K2,3.874013900756836
ARL1,3.8075695037841797
TMEM185A,3.738651990890503
NECAB3,3.7070670127868652
MYO9A,3.6999294757843018
HIST3H2BB,3.694427490234375
CASZ1,3.5926754474639893
PRDM8,3.5889275074005127
INSC,3.586704969406128
C9orf139,3.537618637084961
CBFA2T3,3.5070269107818604
MIR1286,3.498723268508911
ABCG2,3.44242525100708
SLC22A18,3.406895160675049
KDM4C,3.2876687049865723
TMEM86B,3.284642219543457
PREPL,3.1626346111297607
SERPINA1,3.073486328125
ZMAT1,3.07314133644104
ADC,3.044595718383789
PPP1R10,3.010521411895752
DLK1,2.8629019260406494
BEGAIN,2.7461624145507812
BMS1P4,2.706724166870117
STON1-GTF2A1L,2.6745359897613525
CA7,2.6623620986938477
RMND1,2.650951385498047
MCAM,2.6469674110412598
DDX6,2.641645908355713
FBXL19,2.625985622406006
C2orf77,2.5655202865600586
KIAA1217,2.538381576538086
LCLAT1,2.427295207977295
SKA2,2.4126999378204346
UBTF,2.396364212036133
KIAA0090,2.379849910736084
C10orf110,2.318791389465332
MPPED1,2.2943973541259766
CASR,2.2802200317382812
INTS6,2.2020692825317383
ZNF735,2.1641712188720703
RBPJ,2.1113362312316895
NHS,2.091759443283081
GUCY2E,2.0885250568389893
LUC7L2,2.024257183074951
ZIC1,2.019656181335449
PTPN21,1.9621496200561523
ORMDL3,1.9260797500610352
AGL,1.8822894096374512
CDK11B,1.8742103576660156
RNF39,1.8555928468704224
MAPRE2,1.854308843612671
PICK1,1.8059298992156982
ABCB1,1.8002288341522217
TMEM51,1.7954251766204834
IL17RA,1.7277718782424927
DPY19L2,1.7170977592468262
TCP11,1.7052459716796875
PCOTH,1.68245267868042
GRIN2B,1.6362206935882568
IKBKG,1.63478422164917
SFTPC,1.6325541734695435
MFSD11,1.5988051891326904
TSPAN4,1.5896832942962646
MYO9B,1.574410319328308
JMJD4,1.5688955783843994
EPHB6,1.5478490591049194
RALB,1.535286784172058
ANKRD34A,1.479618787765503
SCO1,1.478824257850647
LIMS2,1.472933053970337
CEP76,1.472114086151123
BCYRN1,1.4687718152999878
SEMA6D,1.4509382247924805
KCNJ5,1.4452404975891113
NNAT,1.4366557598114014
FLJ35220,1.4363160133361816
FEN1,1.4224460124969482
USP29,1.4083828926086426
SH3BP2,1.3974356651306152
VAMP4,1.393876552581787
PIGV,1.3934156894683838
CWF19L2,1.371629238128662
PAFAH2,1.3657788038253784
RAB7A,1.3250484466552734
TAX1BP1,1.3233314752578735
KIAA1199,1.320354700088501
TNFSF11,1.306528091430664
ABCD1,1.3063526153564453
NPM1,1.2764527797698975
PRIC285,1.2432305812835693
TRIM41,1.2233341932296753
IFITM5,1.2177454233169556
CITED2,1.2066242694854736
DDX24,1.1993334293365479
UBE2M,1.1749882698059082
GNG7,1.1178456544876099
GSTZ1,1.0994013547897339
MRPL2,1.098442792892456
ANGPT2,1.097084403038025
C1orf183,1.0901882648468018
NCRNA00171,1.0789308547973633
CCND3,1.0681171417236328
SCAMP3,1.0517020225524902
ME2,1.0409038066864014
C21orf29,1.0243895053863525
ZNF605,1.0054316520690918
ZNF397,0.9653136730194092
C3orf75,0.9494743347167969
DNAH7,0.9255706071853638
ALS2,0.9063708186149597
GUCY1A2,0.9048304557800293
PLCB2,0.9031292796134949
FAM120C,0.8887577056884766
ZBTB38,0.8840649127960205
HAUS8,0.8732485771179199
ARFIP2,0.8593506813049316
HLA-G,0.8499900102615356
GFPT1,0.833561897277832
BDKRB2,0.8173968195915222
SOCS2,0.8113024234771729
SLC5A8,0.7967419624328613
SMTN,0.7882981300354004
PRKD2,0.7865644097328186
PKIB,0.769182562828064
MTO1,0.7612690925598145
TNRC6A,0.7556980848312378
PCDHGA4,0.7541703581809998
ACOT4,0.7503011226654053
LOC100128977,0.7471740245819092
TOR1AIP2,0.7429699897766113
FRMD6,0.7359923124313354
RFXANK,0.7313089370727539
ZNF514,0.7305107116699219
AGAP2,0.7304367423057556
SSH2,0.7283949851989746
AURKC,0.7228024005889893
C7orf42,0.7167785167694092
RPP38,0.7113425731658936
SLC24A6,0.7058427333831787
PI4KA,0.6946815252304077
C6orf217,0.6853270530700684
STK32A,0.6766007542610168
WNT2,0.6671950817108154
SLC39A1,0.6560898423194885
EXOC2,0.6553414463996887
MAP7,0.6238595843315125
EBAG9,0.6072380542755127
TRPC3,0.6049702167510986
BEND5,0.6039235591888428
RPS26,0.5991039276123047
FBXO43,0.5980873107910156
MCPH1,0.5908571481704712
TTLL6,0.5785857439041138
IPO7,0.5702786445617676
DLX1,0.5665621757507324
ST18,0.5663537979125977
HIGD2A,0.564154326915741
RNF114,0.5593544244766235
MBP,0.5570987462997437
UGT8,0.5225309133529663
PEG3,0.5215291976928711
METTL9,0.5115748047828674
ZNF672,0.4972626268863678
DCAF4,0.4942981004714966
TRUB1,0.48934853076934814
CCDC112,0.4788045883178711
RBM10,0.47423800826072693
SNAP47,0.4705359637737274
VANGL2,0.4693872928619385
SFMBT1,0.461047887802124
ETAA1,0.4557298719882965
C1orf127,0.44180506467819214
ARL6,0.4365255832672119
ACVR1,0.42487475275993347
STC2,0.42219609022140503
GREB1,0.4175468683242798
ZNRD1,0.4144711494445801
ZNF32,0.41342487931251526
VSTM2A,0.40554341673851013
EFEMP1,0.40498894453048706
NT5C2,0.3847980499267578
RPS14,0.38006138801574707
PLAGL1,0.36675143241882324
OGFOD2,0.36033105850219727
KLC2,0.3465580344200134
BRAF,0.3390079140663147
CTPS2,0.33450430631637573
VRK1,0.33019089698791504
PCIF1,0.32416832447052
CAGE1,0.31906789541244507
LOC100129726,0.318123459815979
CLEC4C,0.31203171610832214
YME1L1,0.31013739109039307
ZNF879,0.3039076626300812
FLJ33630,0.2910158932209015
FN3KRP,0.2875044345855713
APBB2,0.284147709608078
USP2,0.2834281027317047
PRPF38A,0.27945566177368164
