old_sample,new_sample
SAMPLE1,GSM1301871
SAMPLE2,GSM1301872
SAMPLE3,GSM1301873
SAMPLE4,GSM1301874
SAMPLE5,GSM1301875
SAMPLE6,GSM1301876
SAMPLE7,GSM1301877
SAMPLE8,GSM1301878
SAMPLE9,GSM1301879
SAMPLE10,GSM1301880
SAMPLE11,GSM1301881
SAMPLE12,GSM1301882
SAMPLE13,GSM1301883
SAMPLE14,GSM1301884
SAMPLE15,GSM1301885
SAMPLE16,GSM1301886
SAMPLE17,GSM1301887
SAMPLE18,GSM1301888
SAMPLE19,GSM1301889
SAMPLE20,GSM1301890
SAMPLE21,GSM1301891
SAMPLE22,GSM1301892
SAMPLE23,GSM1301893
SAMPLE24,GSM1301894
SAMPLE25,GSM1301895
SAMPLE26,GSM1301896
SAMPLE27,GSM1301897
SAMPLE28,GSM1301898
SAMPLE29,GSM1301899
SAMPLE30,GSM1301900
SAMPLE31,GSM1301901
SAMPLE32,GSM1301902
SAMPLE33,GSM1301903
SAMPLE34,GSM1301904
SAMPLE35,GSM1301905
SAMPLE36,GSM1301906
SAMPLE37,GSM1301907
SAMPLE38,GSM1301908
SAMPLE39,GSM1301909
SAMPLE40,GSM1301910
SAMPLE41,GSM1301911
SAMPLE42,GSM1301912
SAMPLE43,GSM1301913
SAMPLE44,GSM1301914
SAMPLE45,GSM1301915
SAMPLE46,GSM1301916
SAMPLE47,GSM1301917
SAMPLE48,GSM1301918
SAMPLE49,GSM1301919
SAMPLE50,GSM1301920
SAMPLE51,GSM1301921
SAMPLE52,GSM1301922
SAMPLE53,GSM1301923
SAMPLE54,GSM1301924
SAMPLE55,GSM1301925
SAMPLE56,GSM1301926
SAMPLE57,GSM1301927
SAMPLE58,GSM1301928
SAMPLE59,GSM1301929
SAMPLE60,GSM1301930
SAMPLE61,GSM1301931
SAMPLE62,GSM1301932
SAMPLE63,GSM1301933
SAMPLE64,GSM1301934
SAMPLE65,GSM1301935
SAMPLE66,GSM1301936
SAMPLE67,GSM1301937
SAMPLE68,GSM1301938
SAMPLE69,GSM1301939
SAMPLE70,GSM1301940
SAMPLE71,GSM1301941
SAMPLE72,GSM1301942
SAMPLE73,GSM1301943
SAMPLE74,GSM1301944
SAMPLE75,GSM1301945
SAMPLE76,GSM1301946
SAMPLE77,GSM1301947
SAMPLE78,GSM1301948
SAMPLE79,GSM1301949
SAMPLE80,GSM1301950
SAMPLE81,GSM1301951
SAMPLE82,GSM1301952
SAMPLE83,GSM1301953
SAMPLE84,GSM1301954
SAMPLE85,GSM1301955
SAMPLE86,GSM1301956
SAMPLE87,GSM1301957
SAMPLE88,GSM1301958
SAMPLE89,GSM1301959
SAMPLE90,GSM1301960
SAMPLE91,GSM1301961
SAMPLE92,GSM1301962
SAMPLE93,GSM1301963
SAMPLE94,GSM1301964
SAMPLE95,GSM1301965
SAMPLE96,GSM1301966
SAMPLE97,GSM1301967
SAMPLE98,GSM1301968
SAMPLE99,GSM1301969
SAMPLE100,GSM1301970
SAMPLE101,GSM1301971
SAMPLE102,GSM1301972
SAMPLE103,GSM1301973
SAMPLE104,GSM1301974
SAMPLE105,GSM1301975
SAMPLE106,GSM1301976
SAMPLE107,GSM1301977
SAMPLE108,GSM1301978
SAMPLE109,GSM1301979
SAMPLE110,GSM1301980
SAMPLE111,GSM1301981
SAMPLE112,GSM1301982
SAMPLE113,GSM1301983
SAMPLE114,GSM1301984
SAMPLE115,GSM1301985
SAMPLE116,GSM1301986
SAMPLE117,GSM1301987
SAMPLE118,GSM1301988
SAMPLE119,GSM1301989
SAMPLE120,GSM1301990
