uniprot,gene
A0A1B0GTU1,ZC3H11B
B7ZLF3,LOC402624
M0QZD8,LOC400499
O00422,SAP18
O00445,SYT5
O00481,BTN3A1
O00483,NDUFA4
O00566,MPHOSPH10
O14653,GOSR2
O14879,IFIT3
O14896,IRF6
O14933,UBE2L6
O14949,UQCRQ
O15031,PLXNB2
O15040,TECPR2
O15155,BET1
O15335,CHAD
O15541,RNF113A
O60502,OGA
O60613,SELENOF
O60934,NBN
O75818,RPP40
O94842,TOX4
O94886,TMEM63A
O95163,ELP1
O95445,APOM
O95968,SCGB1D1
O96005,CLPTM1
P00352,ALDH1A1
P00742,F10
P00973,OAS1
P01023,A2M
P01266,TG
P01568,IFNA21
P01848,TRAC
P02452,COL1A1
P02458,COL2A1
P02655,APOC2
P02656,APOC3
P02751,FN1
P03951,F11
P04114,APOB
P04179,SOD2
P04180,LCAT
P04264,KRT1
P06727,APOA4
P06746,POLB
P07919,UQCRH
P08123,COL1A2
P08253,MMP2
P08493,MGP
P08603,CFH
P08F94,PKHD1
P09486,SPARC
P09693,CD3G
P09914,IFIT1
P0C7X5,ZNF806
P10412,H1-4
P10599,TXN
P11166,SLC2A1
P11717,IGF2R
P12109,COL6A1
P12235,SLC25A4
P13498,CYBA
P13591,NCAM1
P13984,GTF2F2
P16284,PECAM1
P17661,DES
P18065,IGFBP2
P20774,OGN
P20908,COL5A1
P23526,AHCY
P24593,IGFBP5
P25963,NFKBIA
P26927,MST1
P29083,GTF2E1
P30043,BLVRB
P30047,GCHFR
P30049,ATP5F1D
P30273,FCER1G
P30613,PKLR
P32754,HPD
P35226,BMI1
P35527,KRT9
P35670,ATP7B
P35749,MYH11
P35858,IGFALS
P39060,COL18A1
P45984,MAPK9
P46199,MTIF2
P49069,CAMLG
P49590,HARS2
P50336,PPOX
P50583,NUDT2
P51170,SCNN1G
P54274,TERF1
P54289,CACNA2D1
P55081,MFAP1
P55201,BRPF1
P55290,CDH13
P57076,CFAP298
P57678,GEMIN4
P61803,DAD1
P61956,SUMO2
P63165,SUMO1
P63313,TMSB10
P68036,UBE2L3
P78563,ADARB1
P82921,MRPS21
P98160,HSPG2
P98175,RBM10
Q01130,SRSF2
Q01844,EWSR1
Q02447,SP3
Q02487,DSC2
Q05D60,DEUP1
Q06033,ITIH3
Q06136,KDSR
Q06828,FMOD
Q07869,PPARA
Q08043,ACTN3
Q08495,DMTN
Q09028,RBBP4
Q10589,BST2
Q12800,TFCP2
Q12805,EFEMP1
Q12860,CNTN1
Q13009,TIAM1
Q13217,DNAJC3
Q13409,DYNC1I2
Q13418,ILK
Q13508,ART3
Q13620,CUL4B
Q13740,ALCAM
Q13822,ENPP2
