feature,coef,abs_coef,direction
P29083,0.16337269771290075,0.16337269771290075,EC(1)
O95968,0.16251544321129308,0.16251544321129308,EC(1)
Q8NBN3,0.15963365013092368,0.15963365013092368,EC(1)
P57678,0.1509725134155597,0.1509725134155597,EC(1)
Q63HM1,-0.14850383187254276,0.14850383187254276,nonEC(0)
Q9C0B5,0.14371682929949428,0.14371682929949428,EC(1)
P17661,0.1414477316581685,0.1414477316581685,EC(1)
P00973,0.13403080224834094,0.13403080224834094,EC(1)
Q8N4C6,0.13088903504099184,0.13088903504099184,EC(1)
Q6SPF0,0.11209991144188211,0.11209991144188211,EC(1)
Q8IUG5,-0.10601058298557248,0.10601058298557248,nonEC(0)
Q9NUY8,-0.0989597133333064,0.0989597133333064,nonEC(0)
Q8WUD1,0.09851063573300077,0.09851063573300077,EC(1)
Q58FF6,-0.09809961827011804,0.09809961827011804,nonEC(0)
Q96EB1,0.09733898877943509,0.09733898877943509,EC(1)
P01568,0.09033495927154855,0.09033495927154855,EC(1)
O15040,-0.08766650173529833,0.08766650173529833,nonEC(0)
Q9Y4Y9,-0.08667697162360655,0.08667697162360655,nonEC(0)
Q9NZW5,0.08505763961484,0.08505763961484,EC(1)
Q9Y2K3,0.08433776796755052,0.08433776796755052,EC(1)
P06727,-0.08158974114068195,0.08158974114068195,nonEC(0)
Q06033,-0.08045491218815391,0.08045491218815391,nonEC(0)
P35670,-0.07950696713058479,0.07950696713058479,nonEC(0)
Q9H6K4,-0.07724140680170087,0.07724140680170087,nonEC(0)
Q9H9P8,0.07607775360130292,0.07607775360130292,EC(1)
Q9Y5U2,-0.07547710905368954,0.07547710905368954,nonEC(0)
Q7Z401,0.07448911930753109,0.07448911930753109,EC(1)
Q969M7,0.07306992472050534,0.07306992472050534,EC(1)
Q10589,0.0726644700776814,0.0726644700776814,EC(1)
P35226,-0.07172154265455391,0.07172154265455391,nonEC(0)
Q6ZU80,0.07130524575496215,0.07130524575496215,EC(1)
P08493,-0.06920557976724596,0.06920557976724596,nonEC(0)
P01023,-0.06824704780022567,0.06824704780022567,nonEC(0)
Q96NG3,-0.06465581291749778,0.06465581291749778,nonEC(0)
Q5T280,0.06387886301210668,0.06387886301210668,EC(1)
Q9NZN8,-0.06359714502781029,0.06359714502781029,nonEC(0)
Q5T160,0.06341307053493195,0.06341307053493195,EC(1)
P08F94,0.0626632854822973,0.0626632854822973,EC(1)
Q13508,-0.06213674904235312,0.06213674904235312,nonEC(0)
Q8NDX1,-0.06169351758661957,0.06169351758661957,nonEC(0)
Q9BQC3,0.06101274971715283,0.06101274971715283,EC(1)
A0A1B0GTU1,0.058701832117396255,0.058701832117396255,EC(1)
Q9UK61,-0.05682626416830163,0.05682626416830163,nonEC(0)
P02655,-0.05670275355436606,0.05670275355436606,nonEC(0)
Q562F6,0.05556406489813723,0.05556406489813723,EC(1)
P25963,0.054827664379823504,0.054827664379823504,EC(1)
B7ZLF3,0.053080643754466764,0.053080643754466764,EC(1)
P30273,0.05284274357568031,0.05284274357568031,EC(1)
Q9P0M6,0.05191184449340124,0.05191184449340124,EC(1)
Q96BX8,-0.050722301663120826,0.050722301663120826,nonEC(0)
Q9H2K0,-0.05049825015341782,0.05049825015341782,nonEC(0)
Q9NV96,0.049996732179997526,0.049996732179997526,EC(1)
Q15113,-0.04987211456244636,0.04987211456244636,nonEC(0)
Q5JS54,-0.049623803489338654,0.049623803489338654,nonEC(0)
Q9GZT9,-0.04819384925361344,0.04819384925361344,nonEC(0)
Q9BTD3,0.048012726280646116,0.048012726280646116,EC(1)
O96005,-0.04511361004384925,0.04511361004384925,nonEC(0)
Q9H9L3,-0.04394933140869003,0.04394933140869003,nonEC(0)
P50583,-0.043421754182529734,0.043421754182529734,nonEC(0)
Q8NBM8,0.04314870424065785,0.04314870424065785,EC(1)
Q9UBM7,0.043056015677067724,0.043056015677067724,EC(1)
Q6GMR7,0.042864138715078035,0.042864138715078035,EC(1)
Q2PPJ7,0.042849356909388125,0.042849356909388125,EC(1)
P32754,-0.04252493470003424,0.04252493470003424,nonEC(0)
P24593,-0.04201799554000684,0.04201799554000684,nonEC(0)
Q14C86,-0.04184445822555414,0.04184445822555414,nonEC(0)
P30049,0.041564405684987454,0.041564405684987454,EC(1)
O00445,-0.04092220981327128,0.04092220981327128,nonEC(0)
Q8N9M1,0.040845495600768736,0.040845495600768736,EC(1)
Q8WY22,0.04080045010632315,0.04080045010632315,EC(1)
Q13620,0.04042447048133187,0.04042447048133187,EC(1)
Q9BY44,-0.040168031851232106,0.040168031851232106,nonEC(0)
O95163,-0.039849029124917223,0.039849029124917223,nonEC(0)
Q8N4Q0,-0.03894787079007138,0.03894787079007138,nonEC(0)
Q02447,0.03857672767480421,0.03857672767480421,EC(1)
Q8N5Y2,-0.03827472455492768,0.03827472455492768,nonEC(0)
P03951,0.037856409541373336,0.037856409541373336,EC(1)
P55290,-0.03659909699653352,0.03659909699653352,nonEC(0)
Q9UKN7,0.03634192807336822,0.03634192807336822,EC(1)
P49069,0.03571870609026587,0.03571870609026587,EC(1)
Q9BX97,-0.03552870949547655,0.03552870949547655,nonEC(0)
P61803,0.035485251046717105,0.035485251046717105,EC(1)
P51170,0.0353896833593225,0.0353896833593225,EC(1)
Q96NC0,-0.034848745011622884,0.034848745011622884,nonEC(0)
P30613,-0.03445467050884889,0.03445467050884889,nonEC(0)
Q14457,-0.03394897445229473,0.03394897445229473,nonEC(0)
P20908,-0.03386567970230703,0.03386567970230703,nonEC(0)
Q9UNP9,-0.03370272779631046,0.03370272779631046,nonEC(0)
O00422,0.03355107449083291,0.03355107449083291,EC(1)
Q16222,0.03347957989436045,0.03347957989436045,EC(1)
Q9NVG8,-0.03345234411426922,0.03345234411426922,nonEC(0)
Q8IWZ8,-0.033098088559817385,0.033098088559817385,nonEC(0)
Q96AY2,0.03307091731020615,0.03307091731020615,EC(1)
O75818,-0.03280062340337892,0.03280062340337892,nonEC(0)
P02751,-0.03264744981499909,0.03264744981499909,nonEC(0)
Q96P48,-0.0326384876563565,0.0326384876563565,nonEC(0)
P00352,-0.032264937525293545,0.032264937525293545,nonEC(0)
P98160,-0.031997239527090285,0.031997239527090285,nonEC(0)
Q15063,-0.03197719927637031,0.03197719927637031,nonEC(0)
Q9Y5R8,-0.03173875372819786,0.03173875372819786,nonEC(0)
Q9P031,-0.03134714291513455,0.03134714291513455,nonEC(0)
Q99633,0.03121270911719088,0.03121270911719088,EC(1)
P20774,-0.03117843455130485,0.03117843455130485,nonEC(0)
Q08495,-0.0308630680673791,0.0308630680673791,nonEC(0)
O95445,-0.030170249769427906,0.030170249769427906,nonEC(0)
P01848,-0.02909535413440044,0.02909535413440044,nonEC(0)
O14896,0.028989872675612188,0.028989872675612188,EC(1)
Q9H0F6,-0.02898488541184144,0.02898488541184144,nonEC(0)
O15031,-0.02881586630953152,0.02881586630953152,nonEC(0)
Q92979,-0.028658780374622408,0.028658780374622408,nonEC(0)
P35527,-0.0285096671055463,0.0285096671055463,nonEC(0)
Q8NBJ4,-0.028490148869958334,0.028490148869958334,nonEC(0)
Q6P2H3,-0.028046465544559668,0.028046465544559668,nonEC(0)
Q5TZA2,0.027781579465910318,0.027781579465910318,EC(1)
P11717,-0.027775858117996606,0.027775858117996606,nonEC(0)
P10599,-0.027622866966620793,0.027622866966620793,nonEC(0)
P00742,-0.027446243859197063,0.027446243859197063,nonEC(0)
Q9Y6Z7,-0.027407734740348987,0.027407734740348987,nonEC(0)
Q9UK45,0.02740054461476759,0.02740054461476759,EC(1)
Q9UNE7,-0.02736338599398333,0.02736338599398333,nonEC(0)
P04180,-0.027261115510855326,0.027261115510855326,nonEC(0)
O15335,-0.027239785616687776,0.027239785616687776,nonEC(0)
Q8WVJ2,-0.027170051439289328,0.027170051439289328,nonEC(0)
Q9NU22,-0.026698936313317715,0.026698936313317715,nonEC(0)
Q969Q0,-0.02614179232874729,0.02614179232874729,nonEC(0)
Q8IVB5,-0.025978940295861713,0.025978940295861713,nonEC(0)
Q9UL17,0.025931871279054608,0.025931871279054608,EC(1)
Q14568,0.025785236108033637,0.025785236108033637,EC(1)
O60502,-0.02571811556803284,0.02571811556803284,nonEC(0)
Q6DD87,-0.025621150009844277,0.025621150009844277,nonEC(0)
Q6P161,-0.02558801146326668,0.02558801146326668,nonEC(0)
Q9HB58,-0.025585026421496612,0.025585026421496612,nonEC(0)
Q7Z406,0.025537333275380734,0.025537333275380734,EC(1)
P08603,-0.025357281040840788,0.025357281040840788,nonEC(0)
Q8N4H5,-0.025253300445779767,0.025253300445779767,nonEC(0)
Q8TDD1,0.02519239646135229,0.02519239646135229,EC(1)
Q9H9A6,-0.025130231400260786,0.025130231400260786,nonEC(0)
Q9NRR8,0.024468827622082117,0.024468827622082117,EC(1)
Q8WUA4,0.02410586437287418,0.02410586437287418,EC(1)
Q13009,0.023905536921197144,0.023905536921197144,EC(1)
P30043,-0.023360852887513012,0.023360852887513012,nonEC(0)
Q08043,0.02327309048367537,0.02327309048367537,EC(1)
O14879,0.023249544964907796,0.023249544964907796,EC(1)
Q6PJG2,-0.023144199725168006,0.023144199725168006,nonEC(0)
Q12860,-0.02313393462864284,0.02313393462864284,nonEC(0)
P04114,-0.022929622628100613,0.022929622628100613,nonEC(0)
Q7Z2K8,-0.022821938699280866,0.022821938699280866,nonEC(0)
Q13418,-0.0225888704646853,0.0225888704646853,nonEC(0)
P23526,-0.02223394123868095,0.02223394123868095,nonEC(0)
Q02487,-0.021962129179765956,0.021962129179765956,nonEC(0)
Q06136,0.021376154161830894,0.021376154161830894,EC(1)
Q9BV79,-0.021190389901756097,0.021190389901756097,nonEC(0)
P45984,-0.0211645260201936,0.0211645260201936,nonEC(0)
Q9UBP4,0.021075438522794247,0.021075438522794247,EC(1)
O14933,-0.020996032956822206,0.020996032956822206,nonEC(0)
Q05D60,0.020480890417502284,0.020480890417502284,EC(1)
Q99715,-0.020285807132406956,0.020285807132406956,nonEC(0)
Q49B96,0.019984554375030477,0.019984554375030477,EC(1)
Q14684,-0.019819188598835236,0.019819188598835236,nonEC(0)
Q6K0P9,-0.019535363811860273,0.019535363811860273,nonEC(0)
Q9NX14,0.0194562181740607,0.0194562181740607,EC(1)
Q13409,-0.01911559304816021,0.01911559304816021,nonEC(0)
Q9BQE3,-0.01910079324316944,0.01910079324316944,nonEC(0)
Q8IWU2,-0.019058822648266326,0.019058822648266326,nonEC(0)
P12109,-0.019051614539384764,0.019051614539384764,nonEC(0)
Q8WUY1,-0.018880698812360767,0.018880698812360767,nonEC(0)
Q96DU3,-0.018581038317474062,0.018581038317474062,nonEC(0)
Q9HCE1,-0.018407583263746138,0.018407583263746138,nonEC(0)
P49590,0.01801844367763961,0.01801844367763961,EC(1)
Q9NRC6,0.017939558387764884,0.017939558387764884,EC(1)
Q9C0D4,-0.01768416345004071,0.01768416345004071,nonEC(0)
Q16772,-0.016926686968626165,0.016926686968626165,nonEC(0)
P54274,0.016854945092114333,0.016854945092114333,EC(1)
