feature,coef,abs_coef,direction
P10586,0.15589798103933702,0.15589798103933702,EC(1)
Q00266,0.12853408613754783,0.12853408613754783,EC(1)
Q8N130,0.12758691318585097,0.12758691318585097,EC(1)
Q14117,0.11846201530546517,0.11846201530546517,EC(1)
Q6IMI6,0.1171427728044552,0.1171427728044552,EC(1)
Q93070,0.11604985611018037,0.11604985611018037,EC(1)
Q9NP92,-0.11239734382003819,0.11239734382003819,nonEC(0)
Q8N0Y7,0.11011059947165903,0.11011059947165903,EC(1)
Q4G0X9,0.10875755026630106,0.10875755026630106,EC(1)
Q68DK2,0.10817917822605455,0.10817917822605455,EC(1)
Q6UY14,0.10654586814954237,0.10654586814954237,EC(1)
Q6PJG6,0.10210528371621141,0.10210528371621141,EC(1)
P00740,0.10174474057458491,0.10174474057458491,EC(1)
P02771,0.09849798922796066,0.09849798922796066,EC(1)
Q9UJY4,-0.089180347786972,0.089180347786972,nonEC(0)
O14957,-0.08869948698814008,0.08869948698814008,nonEC(0)
Q9H6K4,0.08486884650995556,0.08486884650995556,EC(1)
O00574,0.0833602096657688,0.0833602096657688,EC(1)
Q6ZQQ6,0.06655368174946116,0.06655368174946116,EC(1)
Q8N122,0.061969730938929685,0.061969730938929685,EC(1)
Q9P0M9,0.05486507098988243,0.05486507098988243,EC(1)
P35908,0.05421719034713212,0.05421719034713212,EC(1)
Q9Y4Y9,0.05263692546479048,0.05263692546479048,EC(1)
P00519,0.050654128703239355,0.050654128703239355,EC(1)
P04180,0.050609854524949295,0.050609854524949295,EC(1)
O75037,0.050506329825699164,0.050506329825699164,EC(1)
P61218,0.049096575358510114,0.049096575358510114,EC(1)
Q9UNK0,0.047104378286857575,0.047104378286857575,EC(1)
O75818,0.04700046420312125,0.04700046420312125,EC(1)
P12107,0.04636154052211582,0.04636154052211582,EC(1)
Q13835,0.04462816336704691,0.04462816336704691,EC(1)
P62306,0.044363706009899306,0.044363706009899306,EC(1)
P08493,0.043828732697574674,0.043828732697574674,EC(1)
P82970,0.04327093173855586,0.04327093173855586,EC(1)
Q8TAD4,0.04242928661763284,0.04242928661763284,EC(1)
Q12972,0.041667981750770924,0.041667981750770924,EC(1)
Q7Z2K8,0.04123433132116376,0.04123433132116376,EC(1)
P06727,0.04049303221208552,0.04049303221208552,EC(1)
Q8N5Y2,0.04002476245877877,0.04002476245877877,EC(1)
Q96PB8,0.03986803519900786,0.03986803519900786,EC(1)
Q9BXJ4,0.039808743265091,0.039808743265091,EC(1)
P33908,0.03612889670583446,0.03612889670583446,EC(1)
Q2M389,0.03557066562276736,0.03557066562276736,EC(1)
Q9NZL4,0.03492695693799004,0.03492695693799004,EC(1)
Q9NU22,0.03424364303009562,0.03424364303009562,EC(1)
Q6P2H3,0.0342092322508804,0.0342092322508804,EC(1)
Q9Y5U2,0.03385472351736381,0.03385472351736381,EC(1)
Q9NXR5,0.03271639497904035,0.03271639497904035,EC(1)
Q9H501,0.029059990588614443,0.029059990588614443,EC(1)
Q08554,0.028916402657682125,0.028916402657682125,EC(1)
Q15526,0.0288935942980824,0.0288935942980824,EC(1)
Q12841,0.02626583681934526,0.02626583681934526,EC(1)
Q9UID3,0.02597333941575871,0.02597333941575871,EC(1)
Q96LR5,0.0259496463792943,0.0259496463792943,EC(1)
Q9Y2L8,0.025853518180115886,0.025853518180115886,EC(1)
O15260,0.024671395506429647,0.024671395506429647,EC(1)
Q8NBQ5,0.024151823174248705,0.024151823174248705,EC(1)
Q99715,0.02281020405941241,0.02281020405941241,EC(1)
Q99653,0.0224049635196797,0.0224049635196797,EC(1)
Q5VYK3,0.02183197729914886,0.02183197729914886,EC(1)
P30837,0.02166853764843623,0.02166853764843623,EC(1)
P04264,0.021231008954846826,0.021231008954846826,EC(1)
Q12849,0.021161243441063158,0.021161243441063158,EC(1)
P08253,0.021019946889613228,0.021019946889613228,EC(1)
O00330,0.02081393930134087,0.02081393930134087,EC(1)
Q2TB10,0.020358005343730123,0.020358005343730123,EC(1)
Q9Y2Y9,0.020176672967386827,0.020176672967386827,EC(1)
P02751,0.019486620544831922,0.019486620544831922,EC(1)
Q6UWH6,0.019134855319317766,0.019134855319317766,EC(1)
Q9UNP9,0.01912312069911786,0.01912312069911786,EC(1)
