feature,coef,abs_coef
P08493,-0.547045164643176,0.547045164643176
Q9Y4Y9,-0.41192231519426237,0.41192231519426237
P35226,-0.40472554875930244,0.40472554875930244
O96005,-0.3908635900587263,0.3908635900587263
Q9H2K0,-0.35084542696111687,0.35084542696111687
Q07869,-0.3477572625539705,0.3477572625539705
P06727,-0.3304203592832758,0.3304203592832758
P98160,-0.32342844966299616,0.32342844966299616
Q96A23,-0.3065019018517642,0.3065019018517642
P02751,-0.29437331656696236,0.29437331656696236
Q9UBM7,0.2909364546827946,0.2909364546827946
Q9Y5R8,-0.2819332782103151,0.2819332782103151
Q15063,-0.27920069504883793,0.27920069504883793
Q16772,-0.2704893746957809,0.2704893746957809
P12109,-0.2694234478751235,0.2694234478751235
P08123,-0.23435020770061424,0.23435020770061424
Q9UBP4,-0.20546937287530218,0.20546937287530218
Q9Y5C1,-0.20360491155371457,0.20360491155371457
Q7Z353,-0.16962901704380817,0.16962901704380817
O15335,-0.1676541973380484,0.1676541973380484
Q05D60,-0.1321521729307604,0.1321521729307604
P02458,-0.11480816679121725,0.11480816679121725
Q9UNY5,0.026688842597086312,0.026688842597086312
Q9NU22,-0.020224719739404397,0.020224719739404397
O95445,-0.01866595989850119,0.01866595989850119
