sample_id,proba,y,pred
ART01_plus,0.0026985793021407534,0,0
ART01_minus,0.0026985793021407534,0,0
ART02_plus,0.2929784566404627,0,0
ART02_minus,0.2929784566404627,0,0
EC01_plus,0.9999999966906836,1,1
EC01_minus,0.9999999966906836,1,1
EC02_plus,0.5572816910360661,1,1
EC02_minus,0.5572816910360661,1,1
HC02_plus,0.001592850829454915,0,0
HC02_minus,0.001592850829454915,0,0
HC01_minus,0.5782531809505511,0,1
ART03_plus,0.6692194949537497,0,1
HC01_plus,0.5782531809505511,0,1
EC04_minus,0.6292738758009494,1,1
ART03_minus,0.6692194949537497,0,1
ART04_plus,0.45047462202816985,0,0
EC04_plus,0.6292738758009494,1,1
EC03_minus,0.4581013745431647,1,0
ART04_minus,0.45047462202816985,0,0
EC03_plus,0.4581013745431647,1,0
EC05_minus,0.795951608168649,1,1
EC05_plus,0.795951608168649,1,1
EC06_minus,0.37655016796244695,1,0
ART06_minus,0.19638087033355012,0,0
HC03_plus,0.9885462582629726,0,1
ART06_plus,0.19638087033355012,0,0
HC03_minus,0.9885462582629726,0,1
ART05_minus,0.20219873241468095,0,0
EC06_plus,0.37655016796244695,1,0
ART05_plus,0.20219873241468095,0,0
