feature_id,stability,mean_importance,std_importance,probe_norm,gene
ILMN_1751607__signal,1.0,0.1534109132610353,0.0094524971214255,ILMN_1751607,FOSB
ILMN_1762899__pvalue,1.0,0.1326694370941852,0.0223569698051059,ILMN_1762899,EGR1
ILMN_1751607__pvalue,1.0,0.1228750553936914,0.0126835649098127,ILMN_1751607,FOSB
ILMN_1806023__signal,1.0,0.1048500653211618,0.0039186191544215,ILMN_1806023,JUN
ILMN_1669523__signal,1.0,0.103197354159703,0.0090561993502792,ILMN_1669523,FOS
ILMN_2150654__pvalue,1.0,0.1021861177576435,0.0063298979403766,ILMN_2150654,ZSWIM4
ILMN_1762899__signal,1.0,0.0967602453290554,0.0078938593778672,ILMN_1762899,EGR1
ILMN_1753111__pvalue,1.0,0.0956043549963287,0.0094485189016217,ILMN_1753111,NAMPT
ILMN_1815205__pvalue,1.0,0.0934350919669899,0.0177412188770106,ILMN_1815205,LYZ
ILMN_2105573__pvalue,1.0,0.0930849959212007,0.0129451355951658,ILMN_2105573,CCL3L3
ILMN_2347298__pvalue,1.0,0.0892995131202684,0.0201601236422019,ILMN_2347298,TSPYL2
ILMN_1775708__pvalue,1.0,0.0781860023256623,0.006149831406041,ILMN_1775708,SLC2A3
ILMN_1703123__pvalue,1.0,0.0780242231581912,0.0060711295872856,ILMN_1703123,AXUD1
ILMN_2339955__pvalue,1.0,0.0742619563662498,0.0102604654563314,ILMN_2339955,NR4A2
ILMN_1753111__signal,1.0,0.0731153070022199,0.0056840048728163,ILMN_1753111,NAMPT
ILMN_2207291__pvalue,1.0,0.0729522114105033,0.0076583461327024,ILMN_2207291,IFNG
ILMN_1728106__pvalue,1.0,0.0728403537290446,0.0076162640521723,ILMN_1728106,TNF
ILMN_1773154__pvalue,1.0,0.0650117509887744,0.0074301293163386,ILMN_1773154,NFKBIA
ILMN_2382687__pvalue,1.0,0.0647200919276529,0.0133129742332832,ILMN_2382687,NR4A3
ILMN_1659936__pvalue,1.0,0.0636509816070537,0.0067366253702686,ILMN_1659936,PPP1R15A
ILMN_1795930__pvalue,1.0,0.0591864937444141,0.0091611967040097,ILMN_1795930,PTGER4
ILMN_1718977__pvalue,1.0,0.056101269088583,0.0070824339220982,ILMN_1718977,GADD45B
ILMN_3235647__pvalue,1.0,0.0546647868336614,0.0130380777292826,ILMN_3235647,SIK1
