old_sample,new_sample
EC0_01,GSM2335548
EC0_02,GSM2335549
EC1_01,GSM2335550
EC1_02,GSM2335551
EC1_03,GSM2335552
EC1_04,GSM2335553
EC1_05,GSM2335554
EC1_06,GSM2335555
EC1_07,GSM2335556
EC1_08,GSM2335557
EC1_09,GSM2335558
EC1_10,GSM2335559
EC1_11,GSM2335560
EC1_12,GSM2335561
EC1_13,GSM2335562
EC2_01,GSM2335563
EC2_02,GSM2335564
EC2_03,GSM2335565
EC2_04,GSM2335566
EC2_05,GSM2335567
EC2_06,GSM2335568
EC2_07,GSM2335569
EC2_08,GSM2335570
EC3_01,GSM2335571
EC3_02,GSM2335572
EC3_03,GSM2335573
EC3_04,GSM2335574
EC3_05,GSM2335575
EC3_06,GSM2335576
EC3_07,GSM2335577
EC3_08,GSM2335578
EC3_09,GSM2335579
EC3_10,GSM2335580
EC4_01,GSM2335581
EC4_02,GSM2335582
EC4_03,GSM2335583
EC4_04,GSM2335584
EC4_05,GSM2335585
EC4_06,GSM2335586
EC4_07,GSM2335587
EC4_08,GSM2335588
EC4_09,GSM2335589
EC4_10,GSM2335590
EC4_11,GSM2335591
EC4_12,GSM2335592
EC4_13,GSM2335593
EC4_14,GSM2335594
EC4_15,GSM2335595
EC5_01,GSM2335596
EC5_02,GSM2335597
EC5_03,GSM2335598
HAART_01,GSM2335599
HAART_02,GSM2335600
HAART_03,GSM2335601
HAART_04,GSM2335602
HAART_05,GSM2335603
HAART_06,GSM2335604
HAART_07,GSM2335605
HAART_08,GSM2335606
HAART_09,GSM2335607
HAART_10,GSM2335608
HAART_11,GSM2335609
HAART_12,GSM2335610
HAART_13,GSM2335611
HAART_14,GSM2335612
HAART_15,GSM2335613
HAART_16,GSM2335614
HAART_17,GSM2335615
HAART_18,GSM2335616
HAART_19,GSM2335617
HAART_20,GSM2335618
HAART_21,GSM2335619
HAART_22,GSM2335620
HAART_23,GSM2335621
HAART_24,GSM2335622
HAART_25,GSM2335623
HAART_26,GSM2335624
HAART_27,GSM2335625
HAART_28,GSM2335626
HAART_29,GSM2335627
HAART_30,GSM2335628
HAART_31,GSM2335629
HAART_32,GSM2335630
HIVneg_01,GSM2335631
HIVneg_02,GSM2335632
HIVneg_03,GSM2335633
HIVneg_04,GSM2335634
HIVneg_05,GSM2335635
HIVneg_06,GSM2335636
HIVneg_07,GSM2335637
HIVneg_08,GSM2335638
HIVneg_09,GSM2335639
HIVneg_10,GSM2335640
