probe_id,gene_id
cg18478105,YTHDF1
cg09835024,EIF2S3
cg09838562,JARID2
cg09838562,JARID2-AS1
cg14361672,PKN3
cg09261072,MORF4L1
cg02404579,TBC1D24
cg02115394,CDC16
cg22585117,OR8G5
cg22585117,OR8G1
cg25813447,MID1IP1
cg07779434,MOSPD2
cg07779434,FANCB
cg01925883,TCHHL1
cg03452160,RBFOX3
cg13871826,CYR61
cg13871826,DDAH1
cg13417420,GPR19
cg12480843,UBE2W
cg24133276,ERBB2IP
cg14370485,MECOM
cg05469734,LRRC37B
cg05530295,CEP83
cg20725941,ZNF528
cg11073926,MED8
cg11073926,C1orf84
cg08770523,SLC39A8
cg21432842,CSF3
cg24040570,ATP8B2
cg24040570,AQP10
cg10732921,JADE1
cg01098981,OLFM4
cg05850769,GPR65
cg12062270,ALPL
cg25706713,SNRPN
cg06964503,CNTN6
cg11890956,PSMG1
cg25361701,HIVEP2
cg09387925,PML
cg09387925,STOML1
cg01675618,CLK2
cg13702222,MBNL1
cg18548246,PAXBP1-AS1
cg18548246,SYNJ1
cg11945228,BRD2
cg12409226,TSC22D4
cg12898275,LOC222699
cg21650422,EPC2
cg25617519,KLHL29
cg22685502,RYBP
cg02638655,PDCL3
cg24176744,OPTN
cg08360726,PLD3
cg14172094,TSTD2
cg14172094,NCBP1
cg15376097,MPZL2
cg22344912,MESDC2
cg11420685,OLFM3
cg00072839,PCDH11X
cg07469408,JDP2
cg07176589,ZFHX4
cg07176589,LOC100192378
cg22337977,KRTAP15-1
cg25261995,HHAT
cg22782271,FUT9
cg26846647,NAT10
cg01935129,RAB40B
cg19993487,SDCCAG3
cg19993487,PMPCA
cg03437204,GAMT
cg23100493,HNRNPA1L2
cg24568647,HNRNPF
cg01415275,TMEM120A
cg05876918,PIP4K2C
cg16515064,DEK
cg01966076,PACS2
cg01966076,BRF1
cg13523652,DNAJB11
cg13523652,TBCCD1
cg00172270,FMNL3
cg19873382,RSPO3
cg19568003,AURKC
cg17021917,EFHD1
cg14324440,EXOC3-AS1
cg14324440,EXOC3
cg04982343,LINC00381
cg14482569,ZBTB44
cg02102020,FAM5B
cg03739014,LEFTY2
cg00982984,SHF
cg11780785,PMFBP1
cg21952484,KIDINS220
cg09840155,MRVI1
cg20390681,ARMC9
cg00075608,ADAMTS6
cg20247596,YPEL3
cg07267139,SUCO
cg16692836,SNX33
cg17505155,FARP1
cg15034345,SOX11
cg15775835,DIP2A
cg01155927,PRDX2
cg17579075,TMEM86A
cg17693420,ZNF655
cg18617728,SSX2IP
cg24562943,ALG10B
cg14428027,BMPR2
cg03162770,HECTD1
cg03372187,TATDN2
cg03760670,FNDC3B
cg17305436,ID4
cg02294730,SPINT1
cg25593794,TP73
cg23087653,NLRP3
cg21630608,SFRP2
cg16315238,CNOT8
cg15241920,TTYH1
cg23066364,SLC30A2
cg25771195,C16orf80
cg18340446,ACTR8
cg18527814,ANXA11
cg02980693,GATA2
cg17638175,HCFC1R1
cg17638175,THOC6
cg13413387,HPCAL1
cg14604802,BCL2
cg10147507,ARHGEF3
cg17579214,RAP2A
cg13161614,URGCP
